
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
1,52,84.902795,5.978912,-6.781764
1,53,85.201932,6.535378,-7.037410
1,54,86.868299,5.777593,-6.553411
1,55,87.742987,5.094378,-6.581972
1,56,87.851163,4.887015,-5.416334
1,57,88.749106,4.518544,-5.396040
1,58,89.146695,3.708054,-4.351045
1,59,89.423331,3.140211,-4.057175
1,60,89.028208,3.224430,-3.282864
1,61,88.656958,3.245067,-3.303875
1,62,89.435869,3.493320,-3.197778
1,63,89.619092,3.482397,-3.187779
1,64,90.036369,2.623358,-2.955161
1,65,90.023284,2.654506,-2.560345
1,66,90.204488,2.646321,-2.552451
1,67,90.256994,1.811499,-2.340469
1,68,90.204488,2.646321,-2.552451
1,69,90.204488,2.646321,-2.552451
1,70,89.698524,2.577151,-3.765804
1,71,89.449798,3.076542,-4.849107
1,72,88.616984,3.677777,-5.194840
1,73,88.417444,3.331292,-6.079736
1,74,89.215323,1.340941,-5.240843
1,75,89.122550,1.895979,-5.522704
1,76,88.937587,1.901964,-5.540138
1,77,89.596920,0.204731,-5.058596
1,78,89.321196,0.757475,-5.355183
1,79,89.306865,1.890043,-5.505412
1,80,89.306865,1.890043,-5.505412
1,81,89.281026,1.570176,-5.965794
1,82,89.687802,0.752773,-5.321943
1,83,90.155406,0.547021,-4.165880
1,84,90.051883,0.748146,-5.289231
1,85,90.426470,0.714596,-5.644796
1,86,90.733553,1.532133,-5.821252
1,87,90.166360,2.691740,-5.633473
1,88,89.893597,3.248747,-5.929088
1,89,89.893597,3.248747,-5.929088
1,90,90.256271,3.228925,-5.892912
1,91,90.436683,3.219130,-5.875036
1,92,90.654616,3.491316,-5.793163
1,93,90.422651,4.329165,-6.022273
1,94,89.879420,4.368992,-6.077676
1,95,89.787810,4.920054,-6.356745
1,96,90.164260,4.857034,-6.705632
1,97,89.565217,5.740650,-6.982451
1,98,89.289327,6.314785,-7.286106
1,99,89.498805,6.615189,-6.806286
2,0,45.937835,-10.677880,-12.861481
2,1,47.855930,-11.591250,-14.323350
2,2,51.280018,-10.791349,-15.646534
2,3,51.727786,-10.681645,-15.487473
2,4,50.332734,-10.996995,-15.168401
2,5,49.865733,-11.116564,-15.333325
2,6,50.332734,-10.996995,-15.168401
2,7,51.633131,-11.308567,-15.645369
2,8,52.945675,-10.976901,-15.186511
2,9,53.793678,-10.769380,-14.899405
2,10,56.026491,-11.312288,-13.675275
2,11,56.417666,-11.214917,-13.557564
2,12,55.231133,-11.513804,-13.918885
2,13,56.417666,-11.214917,-13.557564
2,14,55.202127,-11.491872,-13.183032
2,15,54.797367,-11.596542,-13.303105
2,16,54.621561,-10.571756,-14.625993
2,17,54.826705,-11.618121,-14.044992
2,18,57.566542,-10.935407,-13.219668
2,19,56.804661,-11.119696,-13.442453
2,20,56.804661,-11.119696,-13.442453
2,21,58.312961,-10.758857,-13.006240
2,22,59.405249,-10.507437,-12.702301
2,23,58.126687,-9.786735,-13.539920
2,24,58.180194,-9.839611,-14.913204
2,25,59.044680,-10.589535,-12.801549
2,26,58.654226,-10.649063,-12.216194
2,27,56.083161,-11.357135,-15.111332
2,28,56.473726,-11.260342,-14.982544
2,29,56.610557,-10.116325,-13.995906
2,30,55.686808,-10.814528,-12.925760
2,31,56.081669,-10.719885,-12.812640
2,32,57.186137,-10.398251,-11.062894
2,33,58.547758,-9.145613,-12.614749
2,34,59.583211,-9.483685,-13.120651
2,35,58.680613,-10.673323,-12.902839
2,36,58.939319,-9.101612,-13.196560
2,37,60.861978,-8.341892,-14.534550
2,38,60.639848,-9.271813,-12.827527
2,39,59.659031,-8.961650,-12.993628
2,40,61.376279,-8.606191,-11.870712
2,41,60.262231,-6.768491,-11.061871
2,42,59.858683,-6.752438,-9.790459
2,43,63.823895,-4.287028,-7.962151
2,44,69.987360,-0.495442,-6.873586
2,45,76.986065,3.482893,-6.138902
2,46,79.140147,6.713886,-6.578274
2,47,81.158285,6.391741,-7.250028
2,48,82.827466,6.278410,-6.151594
2,49,83.890657,6.086587,-6.903898
2,50,84.167316,6.300896,-7.663887
